,Sentiment,Timestamp,Platform,Hashtags,Retweets,Likes,Country,Text
0,Positive,2023-01-15 12:30:00,twitter,"nature,park",15,30,usa,enjoy beauti day park
1,Negative,2023-01-15 08:45:00,twitter,"traffic,morning",5,10,canada,traffic terribl morn
2,Positive,2023-01-15 15:45:00,instagram,"fitness,workout",20,40,usa,finish amaz workout
3,Positive,2023-01-15 18:20:00,facebook,"travel,adventure",8,15,uk,excit upcom weekend getaway
4,Neutral,2023-01-15 19:55:00,instagram,"cooking,food",12,25,australia,tri new recip dinner tonight
5,Positive,2023-01-16 09:10:00,twitter,"gratitude,positivevibes",25,50,india,feel grate littl thing life
6,Positive,2023-01-16 14:45:00,facebook,"rainydays,cozy",10,20,canada,raini day call cozi blanket hot cocoa
7,Positive,2023-01-16 19:30:00,instagram,"movienight,mustwatch",15,30,usa,new movi releas mustwatch
8,Negative,2023-01-17 08:00:00,twitter,"politics,debate",30,60,usa,polit discuss heat timelin
9,Neutral,2023-01-17 12:20:00,facebook,"summer,beachdays",18,35,australia,miss summer vibe beach day
10,Positive,2023-01-17 15:15:00,instagram,"blogging,newpost",22,45,usa,publish new blog post check
11,Negative,2023-01-18 10:30:00,twitter,"sickday,health",7,15,canada,feel bit weather today
12,Positive,2023-01-18 14:50:00,facebook,"cityexplore,hiddengems",12,25,uk,explor citi hidden gem
13,Positive,2023-01-18 18:00:00,instagram,"newyear,fitnessgoals",28,55,usa,new year new fit goal
14,Neutral,2023-01-19 09:45:00,twitter,"tech,innovation",15,30,india,technolog chang way live
15,Positive,2023-01-19 13:20:00,facebook,"reflection,future",20,40,usa,reflect past look ahead
16,Positive,2023-01-19 17:10:00,instagram,"petadoption,furryfriend",15,30,canada,adopt cute furri friend
17,Positive,2023-01-20 00:05:00,twitter,"gaming,latenight",18,35,uk,latenight game session friend
18,Neutral,2023-01-20 11:30:00,facebook,"ai,techconference",25,50,usa,attend virtual confer ai
19,Negative,2023-01-20 15:15:00,instagram,"winterblues,mood",8,15,usa,winter blue got feel low
20,Positive,2023-01-21 08:40:00,twitter,"reading,coffeetime",22,45,india,sip coffe enjoy good book
21,Positive,2023-01-21 13:20:00,facebook,"vr,virtualreality",15,30,usa,explor world virtual realiti
22,Positive,2023-01-21 16:45:00,instagram,"productivity,workfromhome",30,60,usa,product day tick todo list
23,Positive,2023-01-22 09:15:00,twitter,"fitness,challengeaccepted",20,40,uk,finish challeng workout routin
24,Positive,2023-01-22 14:30:00,facebook,"career,milestone",12,25,canada,celebr mileston work
25,Positive,2023-01-22 12:00:00,instagram,"brunch,friends",15,30,uk,sunday brunch friend
26,Positive,2023-01-23 16:20:00,facebook,"languagelearning,personalgrowth",25,50,india,learn new languag person growth
27,Positive,2023-01-23 19:45:00,instagram,"reading,quiettime",15,30,australia,quiet even good book
28,Positive,2023-01-24 11:30:00,twitter,"mentalhealth,selfcare",22,45,usa,reflect import mental health
29,Positive,2023-01-24 15:00:00,facebook,"art,paintinginprogress",12,25,canada,new paint progress
30,Positive,2023-01-24 17:30:00,instagram,"roadtrip,scenicviews",18,35,uk,weekend road trip explor scenic view
31,Positive,2023-01-25 18:00:00,twitter,"teatime,sunset",15,30,india,enjoy cup tea watch sunset
32,Positive,2023-01-25 13:15:00,facebook,"coding,enthusiasm",30,60,usa,code new project enthusiasm
33,Positive,2023-01-26 09:45:00,instagram,"inspiration,workshop",25,50,usa,feel inspir attend workshop
34,Positive,2023-01-26 14:20:00,twitter,"wintersports,fun",15,30,canada,winter sport day local park
35,Positive,2023-01-26 17:40:00,facebook,"familytime,weekend",22,45,uk,qualiti time famili weekend
36,Positive,2023-01-27 20:00:00,instagram,"music,concertnight",18,35,usa,attend live music concert tonight
37,Positive,2023-01-27 12:30:00,twitter,"mindfulness,meditation",15,30,india,practic mind medit
38,Positive,2023-01-27 16:10:00,facebook,"dessert,cooking",12,25,canada,tri new dessert recip
39,Positive,2023-01-28 09:00:00,instagram,"gaming,tournament",30,60,usa,excit upcom game tournament
40,Positive,2023-01-28 14:45:00,twitter,"gardening,spring",25,50,usa,plan garden makeov spring
41,Positive,2023-01-28 19:30:00,facebook,"birthday,celebration",15,30,uk,celebr friend birthday tonight
42,Positive,2023-01-29 17:00:00,instagram,"accomplished,success",22,45,india,feel accomplish product day
43,Positive,2023-01-29 20:20:00,twitter,"cozynight,movietime",18,35,canada,cozi even good movi
44,Positive,2023-01-30 11:30:00,facebook,"art,galleryexplore",15,30,usa,explor local art galleri weekend
45,Positive,2023-01-30 15:45:00,instagram,"bookrelease,favoriteauthor",12,25,uk,new book releas favorit author
46,Positive,2023-01-30 18:30:00,twitter,"vrmeetup,virtualreality",28,55,india,attend virtual realiti meetup
47,Positive,2023-01-31 10:45:00,facebook,"nature,reflection",15,30,australia,reflect beauti natur
48,Positive,2023-01-31 19:00:00,instagram,"cooking,specialdinner",20,40,usa,cook special dinner love one
49,Positive,2023-01-31 16:20:00,twitter,"optimism,newweek",15,30,canada,feel optimist week ahead
50,Positive,2023-02-01 08:00:00,facebook,"fitnesschallenge,newbeginnings",22,45,uk,start new fit challeng tomorrow
51,Positive,2023-02-01 13:30:00,instagram,"bikeride,scenictrails",18,35,usa,sunday bike ride scenic trail
52,Negative,2023-02-11 09:30:00,twitter,"injustice,angry",20,40,canada,cant believ injustic happen societi
53,Negative,2023-02-11 21:15:00,instagram,"fear,thrillermovie",15,30,usa,feel sens fear watch thriller movi
54,Negative,2023-02-12 14:45:00,facebook,"sadness,naturaldisaster",25,50,india,heartbroken hear news natur disast
55,Negative,2023-02-12 18:20:00,twitter,"disgust,environment",18,35,uk,state world environ disgust
56,Positive,2023-02-13 10:00:00,instagram,"happiness,celebration",30,60,usa,pure happi celebr love one achiev
57,Positive,2023-02-13 19:30:00,facebook,"joy,comedyshow",22,45,canada,laughter best medicineenjoy comedi show
58,Very Positive,2023-02-14 08:30:00,twitter,"love,spreadlove",15,30,australia,share love posit vibe everyon
59,Positive,2023-02-14 14:20:00,instagram,"amusement,funtimes",18,35,uk,amus incid brighten day
60,Very Positive,2023-02-14 19:45:00,facebook,"enjoyment,booktime",25,50,canada,enjoy quiet even book tea
61,Positive,2023-02-15 11:30:00,twitter,"admiration,nature",20,40,usa,admir beauti natur peac hike
62,Positive,2023-02-15 16:00:00,instagram,"affection,positivevibes",15,30,usa,send affection vibe follow
63,Positive,2023-02-15 20:30:00,facebook,"awe,breathtaking",22,45,australia,experienc awe breathtak sunset
64,Negative,2023-02-16 09:00:00,twitter,"disappointed,badservice",18,35,india,disappoint servic local restaur
65,Neutral,2023-02-16 14:45:00,instagram,"surprise,gift",25,50,usa,surpris gift friend made day
66,Neutral,2023-02-16 18:20:00,facebook,"acceptance,challenges",15,30,canada,find accept midst life challeng
67,Very Positive,2023-02-17 10:45:00,twitter,"adoration,petlove",22,45,uk,overflow ador ador pet
68,Positive,2023-02-17 07:30:00,instagram,"anticipation,adventure",20,40,usa,anticip thrill adventur come week
69,Negative,2023-02-17 15:00:00,facebook,"bitterlesson,growth",18,35,usa,bitter experi turn valuabl lesson
70,Positive,2023-02-18 09:30:00,twitter,"calmness,peacefulmind",15,30,india,find calm midst busi day
71,Neutral,2023-02-18 14:20:00,instagram,"confusion,decisionmaking",25,50,uk,confus cloud mind navig decis
72,Positive,2023-02-18 18:45:00,facebook,"excitement,travelplans",22,45,canada,excit build upcom vacat
73,Positive,2023-02-19 11:30:00,twitter,"kindness,humanity",20,40,usa,kind wit today restor faith human
74,Positive,2023-02-19 16:00:00,instagram,"pride,milestone",30,60,australia,pride achiev person mileston
75,Negative,2023-02-19 19:45:00,facebook,"shame,injustice",15,30,india,moment shame stand injustic
76,Negative,2023-02-20 09:30:00,twitter,"anger,argument",20,40,canada,fume anger heat argument
77,Negative,2023-02-20 21:15:00,instagram,"fear,unknown",15,30,usa,fear unknown keep night
78,Negative,2023-02-21 14:45:00,facebook,"sadness,farewell",25,50,india,heartfelt sad bid farewel dear friend
79,Negative,2023-02-21 18:20:00,twitter,"disgust,corruption",18,35,uk,state corrupt societi utterli disgust
80,Positive,2023-02-22 10:00:00,instagram,"happiness,newfamilymember",30,60,uk,overflow happi welcom new famili member
81,Positive,2023-02-22 19:30:00,facebook,"joy,standupcomedy",22,45,canada,laughter key joyattend standup comedi show
82,Very Positive,2023-02-23 08:30:00,twitter,"love,spreadlove",15,30,australia,send love follow beauti day
83,Positive,2023-02-23 14:20:00,instagram,"amusement,petantics",18,35,uk,amus antic petit pure amus
84,Very Positive,2023-02-23 19:45:00,facebook,"enjoyment,travel",25,50,usa,enjoy everi moment trippur enjoy
85,Positive,2023-02-24 11:30:00,twitter,"admiration,volunteers",20,40,usa,admir dedic volunt local chariti
86,Positive,2023-02-24 16:00:00,instagram,"affection,familylove",15,30,usa,send affection vibe friend famili
87,Positive,2023-02-24 20:30:00,facebook,"awe,starrynight",22,45,australia,awestruck beauti night sky
88,Negative,2023-02-25 09:00:00,twitter,"disappointed,project",18,35,india,disappoint lack progress person project
89,Neutral,2023-02-25 14:45:00,instagram,"surprise,oldfriends",25,50,usa,surpris visit old friend brought tear joy
90,Neutral,2023-02-25 18:20:00,facebook,"acceptance,lifejourney",15,30,canada,embrac accept life up down
91,Very Positive,2023-02-26 10:45:00,twitter,"adoration,puppylove",22,45,uk,overflow ador cute rescu puppi
92,Positive,2023-02-26 07:30:00,instagram,"anticipation,movierelease",20,40,australia,anticip releas muchawait movi
93,Negative,2023-02-26 15:00:00,facebook,"bitterexperience,customerservice",18,35,usa,bitter experi custom servic depart
94,Positive,2023-02-27 09:30:00,twitter,"calmness,innerpeace",15,30,india,find calm amidst chao daili life
95,Neutral,2023-02-27 14:20:00,instagram,"confusion,makingsense",25,50,uk,confus reign tri make sens recent event
96,Positive,2023-02-27 18:45:00,facebook,"excitement,surpriseparty",22,45,canada,excit build surpris birthday parti
97,Positive,2023-02-28 11:30:00,twitter,"kindness,actsofkindness",20,40,usa,wit act kind made day
98,Positive,2023-02-28 16:00:00,instagram,"pride,fitnesschallengecompleted",30,60,uk,pride complet challeng fit challeng
99,Negative,2023-02-28 19:45:00,facebook,"shame,injustice",15,30,india,moment shame speak injustic
100,Neutral,2023-03-01 10:45:00,twitter,"acceptance,diversity",22,45,australia,reflect beauti divers world
101,Positive,2023-03-01 13:30:00,instagram,"excitement,booktime",18,35,usa,excit quiet even good book
102,Negative,2023-03-01 17:45:00,twitter,"bitter,unfairness",15,30,canada,feel bitter unfair workplac
103,Positive,2023-03-02 18:00:00,facebook,"calmness,mindfulness",15,30,uk,calm prevail practic mind
104,Neutral,2023-03-02 13:15:00,instagram,"confusion,lifechoices",30,60,usa,confus surround navig life choic
105,Positive,2023-03-02 16:45:00,twitter,"excitement,weekendadventure",25,50,india,excit weekend road trip explor new place
106,Positive,2023-03-03 11:30:00,facebook,"kindness,humanityrestored",22,45,usa,kind wit today restor faith human
107,Positive,2023-03-03 14:30:00,instagram,"pride,accomplishments",12,25,canada,pride accomplish person profession goal
108,Negative,2023-03-03 12:00:00,twitter,"shame,integrity",15,30,uk,shame true valu difficult situat
109,Very Positive,2010-05-15 15:30:00,twitter,"elation,memories",20,40,canada,revisit old memori feel sens elat
110,Very Positive,2021-08-10 21:15:00,instagram,"euphoria,victory",15,30,usa,victori team brought euphoria citi
111,Positive,2011-06-20 14:45:00,facebook,"contentment,nature",25,50,india,embrac beauti natur moment content
112,Positive,2022-02-12 18:20:00,twitter,"serenity,meditation",18,35,uk,medit seren lake find inner peac
113,Positive,2012-11-25 10:00:00,instagram,"gratitude,blessed",30,60,australia,overflow gratitud life bless
114,Positive,2013-04-05 19:30:00,facebook,"hope,optimism",22,45,usa,hope brighter tomorrow despit challeng
115,Positive,2014-09-14 08:30:00,twitter,"empowerment,community",15,30,uk,empow make differ commun
116,Positive,2015-07-18 14:20:00,instagram,"compassion,charityevent",18,35,canada,compass action support local chariti event
117,Positive,2016-02-23 19:45:00,facebook,"tenderness,familytime",25,50,uk,moment tender connect love one
118,Positive,2017-10-30 11:30:00,twitter,"arousal,excitement",20,40,australia,arous excit await special announc
119,Positive,2018-06-15 16:00:00,instagram,"enthusiasm,newproject",15,30,usa,enthusiast dive new project
120,Positive,2019-03-28 18:20:00,facebook,"fulfillment,milestone",22,45,india,feel sens fulfil reach mileston
121,Positive,2019-11-11 15:00:00,twitter,"reverence,history",18,35,uk,rever beauti histor landmark
122,Very Positive,2020-04-02 09:30:00,instagram,"elation,oldfriends",25,50,canada,elat surpris reunion old friend
123,Very Positive,2021-06-19 14:45:00,facebook,"euphoria,livemusic",15,30,usa,euphoria live music concert star
124,Positive,2010-08-15 10:00:00,twitter,"contentment,sundaymood",30,60,australia,content simplic quiet sunday
125,Positive,2011-09-22 19:30:00,instagram,"serenity,booktime",22,45,uk,seren found page favorit book
126,Positive,2012-03-10 08:30:00,facebook,"gratitude,supportive",15,30,india,gratitud support receiv tough time
127,Positive,2013-12-05 16:00:00,twitter,"hope,newbeginnings",18,35,canada,hope possibl new journey
128,Positive,2014-07-20 11:30:00,instagram,"empowerment,personalgrowth",25,50,usa,empower learn person growth
129,Positive,2015-12-22 14:20:00,facebook,"compassion,holidaysupport",18,35,usa,compass toward need holiday
130,Positive,2016-02-10 19:45:00,twitter,"tenderness,cozyevening",25,50,uk,tender warmth cozi winter even
131,Positive,2017-04-30 11:30:00,instagram,"arousal,adventuretime",20,40,australia,arous excit upcom adventur
132,Positive,2018-09-15 16:00:00,facebook,"enthusiasm,creativity",15,30,canada,enthusiasm creativ project make
133,Positive,2019-06-28 18:20:00,twitter,"fulfillment,fitnessgoals",22,45,india,fulfil complet challeng workout routin
134,Positive,2020-11-11 15:00:00,instagram,"reverence,artappreciation",18,35,uk,rever artistri display museum
135,Very Positive,2021-03-02 09:30:00,facebook,"elation,personalachievement",25,50,usa,elat achiev person goal
136,Very Positive,2012-02-18 14:30:00,twitter,"elation,hiddengem",20,40,usa,elat discov hidden gem citi
137,Very Positive,2018-11-05 21:45:00,instagram,"euphoria,birthdaysurprise",15,30,uk,euphoria surpris birthday celebr
138,Positive,2015-09-12 13:20:00,facebook,"contentment,homecooking",25,50,india,content simplic homecook meal
139,Positive,2016-07-30 18:10:00,twitter,"serenity,peacefulmelody",18,35,canada,seren found melodi peac piano
140,Positive,2013-04-20 10:30:00,instagram,"gratitude,communitysupport",30,60,usa,gratitud support commun around
141,Positive,2017-12-08 19:15:00,facebook,"hope,businessventure",22,45,canada,hope prospect new busi ventur
142,Positive,2014-06-03 08:20:00,twitter,"empowerment,mentorship",15,30,uk,empower mentor guid other
143,Positive,2019-01-15 14:50:00,instagram,"compassion,communitykindness",18,35,australia,compass shown act kind commun
144,Positive,2016-12-25 19:30:00,facebook,"tenderness,lovenote",25,50,uk,tender heartfelt messag love one
145,Positive,2018-03-10 09:45:00,twitter,"arousal,traveladventure",20,40,india,arous excit muchawait trip
146,Positive,2020-09-17 16:30:00,instagram,"enthusiasm,artisticproject",15,30,usa,enthusiasm new artist project work
147,Positive,2011-08-28 18:45:00,facebook,"fulfillment,helpingothers",22,45,canada,feel sens fulfil help other
148,Positive,2017-11-01 15:30:00,twitter,"reverence,historicalsite",18,35,australia,rever histor signific landmark
149,Very Positive,2019-06-15 10:00:00,instagram,"elation,fitnessmilestone",25,50,uk,elat achiev fit mileston
150,Very Positive,2022-04-03 11:45:00,facebook,"euphoria,productlaunchsuccess",15,30,usa,euphoria success product launch
151,Positive,2010-11-12 20:20:00,twitter,"contentment,love",30,60,india,content embrac love one
152,Positive,2011-07-22 18:30:00,instagram,"serenity,sunsetviews",22,45,canada,seren found beauti sunset sea
153,Positive,2012-03-30 11:20:00,facebook,"gratitude,smalljoys",15,30,australia,gratitud small joy day bring
154,Positive,2013-10-05 16:40:00,twitter,"hope,personaldevelopment",18,35,uk,hope potenti person growth
155,Positive,2014-07-10 13:15:00,instagram,"empowerment,skillbuilding",25,50,india,empower learn new skill
156,Positive,2015-12-18 14:20:00,facebook,"compassion,volunteerwork",18,35,usa,compass volunt local chariti
157,Positive,2016-02-10 19:45:00,twitter,"tenderness,petlove",25,50,canada,tender quiet moment share pet
158,Positive,2017-09-25 11:30:00,instagram,"arousal,festivalexcitement",20,40,uk,arous excit upcom festiv
159,Positive,2018-04-15 16:00:00,facebook,"enthusiasm,homeimprovement",15,30,australia,enthusiasm diy home improv project
160,Positive,2019-11-28 18:20:00,twitter,"fulfillment,puzzlechallenge",22,45,india,fulfil complet challeng puzzl
161,Positive,2020-05-11 15:00:00,instagram,"reverence,natureexploration",18,35,usa,rever wonder natur hike trail
162,Very Positive,2021-02-05 09:30:00,facebook,"elation,friendshipreunion",25,50,canada,elat surpris reunion childhood friend
163,Very Negative,2021-03-10 08:30:00,twitter,"despair,struggle",5,10,usa,suffer despair anoth setback
164,Very Negative,2022-07-05 15:45:00,instagram,"grief,loss",8,15,canada,overwhelm grief miss love one dearli
165,Negative,2019-11-18 21:20:00,facebook,"loneliness,isolation",10,20,uk,loneli creep night grow colder
166,Very Negative,2020-08-12 11:30:00,twitter,"jealousy,envy",12,25,india,jealousi consum wit other success
167,Negative,2018-05-22 14:45:00,instagram,"resentment,bitterness",7,15,australia,resent build past betray
168,Negative,2017-01-30 16:10:00,facebook,"frustration,obstacles",10,20,usa,frustrat mount obstacl block path
169,Negative,2016-09-28 19:45:00,twitter,"boredom,lackofinterest",8,15,canada,boredom set day feel endlessli dull
170,Negative,2019-04-15 09:00:00,instagram,"anxiety,worry",12,25,uk,anxieti grip heart worri cloud thought
171,Negative,2021-12-03 18:30:00,facebook,"intimidation,fear",15,30,india,intimid unknown futur ahead
172,Negative,2020-06-20 14:20:00,twitter,"helplessness,overwhelmed",8,15,australia,helpless sink challeng pile
173,Negative,2018-11-07 11:30:00,instagram,"envy,desire",10,20,canada,envi eat away see other prosper
174,Negative,2017-08-25 16:00:00,facebook,"regret,missedchances",12,25,uk,regret miss opportun haunt thought
175,Negative,2019-02-11 09:45:00,twitter,"disgust,injustice",7,15,india,disgust sight injustic cruelti
176,Very Negative,2016-04-02 20:20:00,instagram,"despair,hopeless",10,20,usa,drown despair hope slip finger
177,Very Negative,2015-10-18 15:30:00,facebook,"grief,tears",12,25,canada,grief weigh heavi tear constant companion
178,Negative,2019-07-12 18:10:00,twitter,"loneliness,seekingconnection",15,30,uk,loneli crowd room silent cri connect
179,Very Negative,2018-06-03 16:30:00,instagram,"jealousy,insecurity",8,15,india,jealousi gnaw confid toxic emot
180,Negative,2022-01-15 12:00:00,facebook,"resentment,brokentrust",10,20,australia,resent fester poison relationship
181,Negative,2017-04-10 14:45:00,twitter,"frustration,emotionaloutburst",12,25,usa,frustrat boil volcan erupt emot
182,Negative,2016-11-28 19:00:00,instagram,"boredom,monotony",7,15,canada,boredom settl like dust life feel mundan
183,Negative,2018-09-05 09:30:00,facebook,"anxiety,restlessness",10,20,uk,anxieti grip chest relentless grip thought
184,Negative,2021-10-22 18:30:00,twitter,"intimidation,facingfear",15,30,india,intimid challeng ahead fear take hold
185,Negative,2019-05-08 14:20:00,instagram,"helplessness,struggling",8,15,australia,helpless engulf drown sea problem
186,Negative,2017-03-20 11:30:00,facebook,"envy,success",10,20,canada,envi poison thought covet other success
187,Negative,2018-12-15 16:00:00,twitter,"regret,pastchoices",12,25,usa,regret decis led pain present
188,Negative,2016-07-01 09:45:00,instagram,"disgust,corruption",7,15,uk,disgust corrupt stain societi
189,Very Negative,2020-08-20 20:20:00,facebook,"despair,darkdays",10,20,india,sink despair day darker last
190,Very Negative,2021-02-25 15:30:00,twitter,"grief,emotionalstorm",12,25,canada,grief overwhelm storm emot within
191,Negative,2019-09-12 18:10:00,instagram,"loneliness,yearningforconnection",15,30,australia,loneli echo empti space yearn connect
192,Very Negative,2018-08-05 16:30:00,facebook,"jealousy,resentment",8,15,usa,jealousi poison thought resent brew within
193,Negative,2017-01-12 12:00:00,twitter,"resentment,unforgiving",10,20,india,resent fester wound refus heal
194,Negative,2022-04-05 14:45:00,instagram,"frustration,emotionaloutburst",12,25,uk,frustrat escal thunderstorm emot
195,Negative,2021-10-02 19:00:00,facebook,"boredom,stagnation",7,15,canada,boredom linger stagnant pool indiffer
196,Neutral,2023-04-15 10:15:00,twitter,"curiosity,learning",15,30,usa,embark journey discoveri fuel curios thirst knowledg
197,Neutral,2022-11-28 17:30:00,instagram,"indifference,digitaloverload",7,15,canada,lost vast sea inform indiffer wave digit ocean
198,Neutral,2020-04-02 09:45:00,facebook,"confusion,lifepuzzle",10,20,uk,complex puzzl life leav state perpetu confus seek answer chao
199,Neutral,2021-08-10 14:00:00,twitter,"numbness,emotionalshield",8,15,india,numb settl shield overwhelm emot life throw way
200,Negative,2019-06-18 20:45:00,instagram,"melancholy,sunsetmoments",12,25,australia,gaze sunset melanchol long moment slip finger time
201,Neutral,2018-02-05 15:15:00,facebook,"nostalgia,memorylane",10,20,usa,revisit old photograph caught embrac nostalgia bittersweet symphoni
202,Neutral,2022-05-30 11:30:00,twitter,"ambivalence,uncertainchoices",12,25,canada,torn conflict emot ambival paint decis shade uncertainti
203,Neutral,2023-01-10 16:20:00,instagram,"acceptance,lifejourney",15,30,uk,embrac ebb flow life find accept danc exist
204,Positive,2020-09-18 13:45:00,facebook,"determination,achievetheimpossible",10,20,india,face challeng headon determin fuel fire within achiev imposs
205,Positive,2021-07-03 19:00:00,twitter,"serenity,natureretreat",12,25,australia,seren found still natur tranquil retreat chao modern world
206,Neutral,2022-10-08 08:15:00,instagram,"curiosity,knowledgequest",20,40,usa,curios lead rabbit hole knowledg perpetu student life classroom
207,Neutral,2023-03-22 16:30:00,facebook,"indifference,floatingthroughlife",10,20,canada,float day air indiffer detach mundan happen around
208,Neutral,2021-05-15 11:45:00,twitter,"confusion,thoughtlabyrinth",15,30,uk,entangl web thought confus reign navig labyrinth idea
209,Neutral,2019-12-28 14:30:00,instagram,"numbness,stoicfacade",8,15,australia,numb chao emot lock away stoic facad conceal inner turmoil
210,Negative,2020-03-01 19:00:00,facebook,"melancholy,whispersinthebreeze",12,25,india,melancholi whisper breez silent convers echo forgotten dream
211,Neutral,2018-07-10 15:45:00,twitter,"nostalgia,journalmoments",10,20,canada,stumbl upon old journal nostalgia flood wave carri moment long gone
212,Neutral,2022-01-05 10:30:00,instagram,"ambivalence,conflictingfeelings",12,25,uk,tapestri conflict feel weav uncertainti caught thread ambival
213,Neutral,2021-08-20 16:20:00,facebook,"acceptance,selflovejourney",15,30,australia,embrac flaw find accept imperfect journey toward selflov
214,Positive,2019-11-03 13:45:00,twitter,"determination,dreamsintoreality",18,35,usa,determin burn like wildfir overcom obstacl turn dream realiti
215,Positive,2020-04-12 19:30:00,instagram,"serenity,oceanretreat",25,50,canada,tranquil moment ocean seren wash peac retreat within wave embrac
216,Neutral,2022-04-15 08:45:00,facebook,"curiosity,newhorizons",22,45,india,explor new horizon spark curios adventur vast landscap knowledg
217,Neutral,2023-02-10 17:00:00,twitter,"indifference,driftingthroughlife",9,18,uk,drift day nonchal demeanor embrac art indiffer
218,Neutral,2020-08-05 12:15:00,instagram,"confusion,perplexedmind",14,28,australia,wrestl thought perplex mind lost labyrinth life complex
219,Neutral,2021-12-01 15:30:00,facebook,"numbness,emotionalshield",10,20,usa,immers state emot numb shield storm daili struggl
220,Negative,2019-03-25 21:00:00,twitter,"melancholy,wistfulheart",13,26,canada,melanchol symphoni play background soundtrack wist heart
221,Neutral,2017-06-18 14:45:00,instagram,"nostalgia,yearbookmemories",12,25,india,flip page old yearbook nostalgia paint smile tear face
222,Neutral,2022-07-08 11:30:00,facebook,"ambivalence,shadesofuncertainty",15,30,australia,torn oppos emot ambival color decis shade uncertainti
223,Neutral,2023-05-15 16:20:00,twitter,"acceptance,imperfectjourney",18,36,canada,embrac life imperfect find accept journey scar
